Nom du fichier,Type de doc.,Extraits,References
article_aroldis_chapman,Article,Article d'actualité,Aroldis Chapman implore les partisans d’être patients (https://www.journaldemontreal.com)
article_assemblée_premières_nations,Article,Article d'actualité,Assemblée des Premières Nations Cathy Martin pourrait devenir cheffe nationale (https://www.msn.com)
article_avant_première_chute_montmorency,Article,Article d'actualité, Été d’avant-première au Parc de la Chute-Montmorency (https://www.pressreader.com)
article_les_lacs_québécois,Article,Article d'actualité,Les lacs québécois de plus en plus inaccessibles (https://www.tvanouvelles.ca)
article_votre_verre_d_eau,Article,Article d'actualité,Votre verre d’eau avec ou sans amiante? (https://www.journaldemontreal.com)
articles_femme_violences,Article,Article d'actualité,Femmes victimes de violences: les libéraux demandent à la CAQ d’agir «immédiatement»  (https://www.ledevoir.com)
article_cn_feu,Article,Article d'actualité,Le CN affirme ne pas avoir déclenché le feu qui a dévasté Lytton (https://ici.radio-canada.ca)
article_mary_simon,Article,Article d'actualité,L’Inuite Mary Simon devient la 30e gouverneure générale du Canada (https://www.ledevoir.com)
article_nouveau_cas_covid,Article,Article d'actualité,95 % des nouveaux cas de COVID-19 au Québec n'étaient pas « adéquatement vaccinés » (https://ici.radio-canada.ca)
article_vacances_senateurs,Article,Article d'actualité,Les vacances des sénateurs menacées par le calendrier électoral (https://www.ledevoir.com)
article_feux_foret,Article,Article d'actualité,Feux de forêt près de 500 militaires en renfort (https://www.journaldemontreal.com)
article_multiplication_haine,Article,Article d'actualité,Trudeau veut « tracer la voie » pour s’attaquer à la montée de l’islamophobie (https://www.lapresse.ca)
article_rejet_preuves,Article,Article d'actualité,Rejet de nouvelles preuves par la juge en chef adjointe (https://www.lapresse.ca)
article_gnl,Article,Article d'actualité,Rejet du projet GNL Québec une coalition étudiante salue une «victoire climatique» (https://www.journaldemontreal.com)
article_shea_weber,Article,Article d'actualité,Shea Weber ratera la prochaine saison Jonathan Drouin de retour (https://www.lapresse.ca)
assur_contrat,Assurance,Contrat d'assurance,SSQ
assur_formulaire_auto,Assurance,Formulaire assurance auto,La Capital
assur_formulaire_avenant,Assurance,Formulaire d’avenant,TD assurance
assur_police,Assurance,Police d'assurance,FPQ
assur_CG_habitation,Assurance,Conditions Générale habitation,BNP Paribas
assur_formulaire_garage,Assurance,Formulaire garagiste,Promutuel
assur_formulaire_exced,Assurance,Police d'assurance,FORMULE D’ASSURANCE EXCÉDENTAIRE DE LA RESPONSABILITÉ CIVILE AMF
assur_formulaire_non_proprio,Assurance,Police d'assurance,FORMULE DES NON-PROPRIÉTAIRES ET AVENANTS AMF
assur_formulaire_proprio,Assurance,Police d'assurance,Formulaire des propriétaires AMF
assur_formulaire_transport,Assurance,Formulaire d’avenant,Transport rémunéré de personnes par automobile AMF
assur_form_bnc,Assurance,Formulaire des propriétaires,BNC 
assur_form_belair,Assurance,FORMULE DES PROPRIÉTAIRES ET AVENANTS,Belair
assur_form_capital,Assurance,Formulaire des propriétaires,La Capital
dictee_hymne_dedie_au_printemps,Dictée,Dictée,Hymne dédié au printemps (http://www.ladictee.fr)
dictee_la_mort_du_sapin,Dictée,Dictée,La mort du sapin. (http://www.ladictee.fr)
dictee_le_retour_du_petit_nicolas,Dictée,Dictée,Le retour du Petit Nicolas (http://www.ladictee.fr)
dictee_merimee,Dictée,Dictée de Mérimée
dictee_la_recreation,Dictée,Dictée,La récréation (http://dictee.ca)
dictee_creve_coeur,Dictée,Dictée,Crève-coeur (http://dictee.ca)
dictee_mon_metier,Dictée,Dictée,Mon métier: enseignante (http://dictee.ca)
dictee_les_jumeaux_pecheurs,Dictée,Dictée,Les jumeaux pêcheurs (http://dictee.ca)
dictee_la_salle_d_attente,Dictée,Dictée,La salle d’attente (http://dictee.ca)
dictee_la_ruelle,Dictée,Dictée,La ruelle (http://dictee.ca)
dictee_le_cafe,Dictée,Dictée,Le café (http://dictee.ca)
dictee_la_fete_de_lea,Dictée,Dictée,La fête de Léa (http://dictee.ca)
dictee_remede,Dictée,Dictée,Remède (http://dictee.ca)
dictee_un_souper_imparfait,Dictée,Dictée,Un souper imparfait (http://dictee.ca)
dictee_le_party_de_mario,Dictée,Dictée,Le party de Mario
dictee_arc_en_ciel,Dictée,Dictée,Arc-en-ciel
dictee_les_participes_passes,Dictée,Dictée,Les participes passés
dictee_l_exorciste_amoureux,Dictée,Dictée,L’exorciste amoureux
dictee_a_la_defense_des_negliges,Dictée,Dictée,À la défense des négligés
hist_fables_de_la_fontaine,Histoire,Fables de la Fontaine,(http://www.lesfables.fr/livre-1)
hist_jojo_et_la_couleur,Histoire,Histoire pour enfant,Jojo et la couleur des odeurs et Jojo pas de bol (https://www.iletaitunehistoire.com)
hist_jojo_la_magie,Histoire,Histoire pour enfant,Jojo la magie (https://www.iletaitunehistoire.com)
hist_la_classe_des_chiffres,Histoire,Histoire pour enfant,La classe des chiffres (https://short-edition.com)
hist_la_foret_des_farfadets,Histoire,Histoire pour enfant,La forêt des farfadets (https://une-histoire-chaque-jour.com)
hist_le_plus_beau_noel_de_lana,Histoire,Histoire pour enfant,Le plus beau Noël de Lana (https://jeunesse.short-edition.com)
hist_oscar,Histoire,Histoire pour enfant,Oscar et le mystère du cochon-tirelire (https://jeunesse.short-edition.com)
hist_un_petit_creux,Histoire,Histoire pour enfant,Un petit creux (https://jeunesse.short-edition.com)
hist_le_chateau_de_cristal,Histoire,Histoire pour enfant,Le château de cristal de Brigitte Bellac (https://jeunesse.short-edition.com)
hist_la_chasse_au_tresor_de_tom,Histoire,Histoire pour enfant,La chasse au trésor de Tom de Flo Tanor (https://jeunesse.short-edition.com)
hist_l_effroyable_creature_de_bruzilla,Histoire,Histoire pour enfant,L'effroyable créature de Bruzilla (https://jeunesse.short-edition.com)
hist_le_noel_de_victor_et_timeo,Histoire,Histoire pour enfant,Le Noël de Victor et Timéo (https://jeunesse.short-edition.com)
hist_ma_premiere_colonie,Histoire,Histoire pour enfant,Ma première colonie de Régine Raymond-Garcia (https://jeunesse.short-edition.com)
lois_code_crimi,Lois,Extrait de lois,Code criminel (https://laws-lois.justice.gc.ca)
lois_code_du_travail,Lois,Extrait de lois,Code du travail (https://laws-lois.justice.gc.ca)
lois_consitution,Lois,Constitution canadienne,(https://laws-lois.justice.gc.ca/fra/Const/TexteComplet.html)
lois_droit_dauteur,Lois,Extrait de lois,Droit d'auteur (https://laws-lois.justice.gc.ca)
lois_impot,Lois,Extrait de lois,Impôt sur le revenue (https://laws-lois.justice.gc.ca)
lois_indiens,Lois,Extrait de lois,Loi sur les Indiens (https://laws-lois.justice.gc.ca)
lois_pensions,Lois,Extrait de lois,Loi sur les pensions (https://laws-lois.justice.gc.ca)
